codigo_sii,actividad_sii,mcc,categoria
324000,FABRICACIÓN DE JUEGOS Y JUGUETES,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
464100,"VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO",5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
464903,"VENTA AL POR MAYOR DE ARTÍCULOS DE PERFUMERÍA, DE TOCADOR Y COSMÉTICOS",5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
464909,VENTA AL POR MAYOR DE OTROS ENSERES DOMÉSTICOS N.C.P.,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
465909,VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO N.C.P.,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
469000,VENTA AL POR MAYOR NO ESPECIALIZADA,5099,BIENES DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
353002,ELABORACIÓN DE HIELO (EXCEPTO FABRICACIÓN DE HIELO SECO),5199,BIENES NO DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
463011,VENTA AL POR MAYOR DE FRUTAS Y VERDURAS,5199,BIENES NO DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
463012,VENTA AL POR MAYOR DE CARNE Y PRODUCTOS CÁRNICOS,5199,BIENES NO DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
463013,"VENTA AL POR MAYOR DE PRODUCTOS DEL MAR (PESCADOS, MARISCOS Y ALGAS)",5199,BIENES NO DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
463014,VENTA AL POR MAYOR DE PRODUCTOS DE CONFITERÍA,5199,BIENES NO DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
463019,"VENTA AL POR MAYOR DE HUEVOS, LÁCTEOS, ABARROTES Y DE OTROS ALIMENTOS N.C.P.",5199,BIENES NO DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
463020,VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS,5199,BIENES NO DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
463030,VENTA AL POR MAYOR DE TABACO,5199,BIENES NO DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
469000,VENTA AL POR MAYOR NO ESPECIALIZADA,5199,BIENES NO DURADEROS (NO CLASIFICADOS EN OTRA PARTE)
521001,EXPLOTACIÓN DE FRIGORÍFICOS PARA ALMACENAMIENTO Y DEPÓSITO,4225,"BODEGAS, ALMACENAJE Y DEPÓSITOS"
521009,OTROS SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO N.C.P.,4225,"BODEGAS, ALMACENAJE Y DEPÓSITOS"
152000,FABRICACIÓN DE CALZADO,5139,CALZADO COMERCIAL
552000,ACTIVIDADES DE CAMPING Y DE PARQUES PARA CASAS RODANTES,7033,CAMPING Y PARQUES PARA REMOLQUES
559009,OTRAS ACTIVIDADES DE ALOJAMIENTO N.C.P.,7033,CAMPING Y PARQUES PARA REMOLQUES
931109,GESTIÓN DE OTRAS INSTALACIONES DEPORTIVAS N.C.P.,7992,CAMPOS DE GOLF PÚBLICOS
931209,ACTIVIDADES DE OTROS CLUBES DEPORTIVOS N.C.P.,7992,CAMPOS DE GOLF PÚBLICOS
