Código Actividad SII,Nombre Actividad SII,Código MCC,Nombre MCC,Registrado en restricciones adquirentes
102060,ELABORACIÓN Y PROCESAMIENTO DE ALGAS,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
103000,"ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS",763,Cooperativas Agrícolas,763
103000,"ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS",780,"Servicios de horticultura, Servicios de paisajismo",780
104000,ELABORACIÓN DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL (EXCEPTO ELABORACIÓN DE MANTEQUILLA),763,Cooperativas Agrícolas,763
104000,ELABORACIÓN DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL (EXCEPTO ELABORACIÓN DE MANTEQUILLA),780,"Servicios de horticultura, Servicios de paisajismo",780
105000,ELABORACIÓN DE PRODUCTOS LÁCTEOS,5451,Tiendas de productos lácteos,5451
106101,"MOLIENDA DE TRIGO: PRODUCCIÓN DE HARINA, SÉMOLA Y GRÁNULOS",5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
106101,"MOLIENDA DE TRIGO: PRODUCCIÓN DE HARINA, SÉMOLA Y GRÁNULOS",5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
106102,MOLIENDA DE ARROZ; PRODUCCIÓN DE HARINA DE ARROZ,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
106109,ELABORACIÓN DE OTROS PRODUCTOS DE MOLINERÍA N.C.P.,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
106200,ELABORACIÓN DE ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDÓN,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
107100,ELABORACIÓN DE PRODUCTOS DE PANADERÍA Y PASTELERÍA,5462,Panaderías,5462
107200,ELABORACIÓN DE AZÚCAR,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
107300,"ELABORACIÓN DE CACAO, CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA",5441,"Tiendas de dulces, nueces y confitería",5441
107400,"ELABORACIÓN DE MACARRONES, FIDEOS, ALCUZCUZ Y PRODUCTOS FARINÁCEOS SIMILARES",5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
107500,"ELABORACIÓN DE COMIDAS Y PLATOS PREPARADOS ENVASADOS, ROTULADOS Y CON INFORMACIÓN NUTRICIONAL",5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
107901,"ELABORACIÓN DE TÉ, CAFÉ, MATE E INFUSIONES DE HIERBAS",5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
107902,ELABORACIÓN DE LEVADURAS NATURALES O ARTIFICIALES,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
107903,"ELABORACIÓN DE VINAGRES, MOSTAZAS, MAYONESAS Y CONDIMENTOS EN GENERAL",5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
107909,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
108000,ELABORACIÓN DE PIENSOS PREPARADOS PARA ANIMALES,5499,Varios. Tiendas de alimentos: tiendas de conveniencia y mercados especializados,5499
110110,ELABORACIÓN DE PISCO (INDUSTRIAS PISQUERAS),5921,"Tiendas de paquetes: cerveza, vino y licores",5921
110120,"DESTILACIÓN, RECTIFICACIÓN Y MEZCLAS DE BEBIDAS ALCOHÓLICAS; EXCEPTO PISCO",5921,"Tiendas de paquetes: cerveza, vino y licores",5921
110200,ELABORACIÓN DE VINOS,5921,"Tiendas de paquetes: cerveza, vino y licores",5921
110300,ELABORACIÓN DE BEBIDAS MALTEADAS Y DE MALTA,5921,"Tiendas de paquetes: cerveza, vino y licores",5921
110401,ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS,7399,"Servicios comerciales, no clasificados en otra parte",7399
110402,PRODUCCIÓN DE AGUAS MINERALES Y OTRAS AGUAS EMBOTELLADAS,7399,"Servicios comerciales, no clasificados en otra parte",7399
120001,ELABORACIÓN DE CIGARROS Y CIGARRILLOS,5993,Estancos y puestos de tabaco,5993
120009,ELABORACIÓN DE OTROS PRODUCTOS DE TABACO N.C.P.,5993,Estancos y puestos de tabaco,5993
